"quarter","product_id","name","sales"
2,1004,"Field & Stream Sportsman 16 Gun Fire Safe",209589.52523999967
2,957,"Diamondback Women's Serene Classic Comfort Bi",122991.80409999975
2,365,"Perfect Fitness Perfect Rip Deck",116020.66275000005
2,191,"Nike Men's Free 5.0+ Running Shoe",99890.00997000026
2,502,"Nike Men's Dri-FIT Victory Golf Polo",94450
2,1073,"Pelican Sunstream 100 Kayak",92195.3941099996
2,403,"Nike Men's CJ Elite 2 TD Football Cleat",87743.25576999954
2,1014,"O'Brien Men's Neoprene Life Vest",77568.95909000008
2,627,"Under Armour Girls' Toddler Spine Surge Runni",36230.94065000004
2,724,"LIJA Women's Mid-Length Panel Golf Shorts",6400
2,306,"Polar FT4 Heart Rate Monitor",5489.39006
2,251,"Brooks Women's Ghost 6 Running Shoe",5039.440030000001
2,78,"Nike Kids' Grade School KD VI Basketball Shoe",4299.569979999999
2,730,"LIJA Women's Argyle Golf Polo",4240
2,24,"Elevation Training Mask 2.0",4159.48
2,773,"Titleist Small Wheeled Travel Cover",3999.84016
2,258,"Nike Women's Free 5.0 TR FIT PRT 4 Training S",3894.5900299999994
2,646,"Merrell Women's Grassbow Sport Hiking Shoe",3699.6299900000004
2,677,"TaylorMade White Smoke IN-12 Putter",3699.6299899999995
2,981,"The North Face Women's Recon Backpack",3564
2,625,"Nike Men's Kobe IX Elite Low Basketball Shoe",3199.84016
2,295,"Fitbit The One Wireless Activity & Sleep Trac",2998.4999299999995
2,786,"TaylorMade 2014 Purelite Stand Bag",2879.84016
2,359,"Nike Men's Free TR 5.0 TB Training Shoe",2799.7200199999997
2,666,"Merrell Men's All Out Flash Trail Running Sho",2639.759999999999
2,777,"Bag Boy M330 Push Cart",2639.66999
2,671,"Cleveland Golf Collegiate My Custom Wedge 588",2519.8801200000003
2,216,"Yakima DoubleDown Ace Hitch Mount 4-Bike Rack",2457
2,305,"Mio ALPHA Heart Rate Monitor/Sport Watch",2388
2,607,"Garmin Approach S3 Golf GPS Watch",2249.9100900000003
2,858,"GolfBuddy VT3 GPS Watch",2199.8901100000003
2,725,"LIJA Women's Button Golf Dress",2160
2,715,"TaylorMade Women's RBZ SL Rescue",1949.85015
2,35,"adidas Brazuca 2014 Official Match Ball",1919.88012
2,743,"Ogio Race Golf Shoes",1869.89011
2,652,"Merrell Women's Grassbow Sport Waterproof Hik",1819.86014
2,705,"Cleveland Golf Women's 588 RTX CB Satin Chrom",1799.85
2,19,"Nike Men's Fingertrap Max Training Shoe",1624.87
2,691,"MDGolf Pittsburgh Penguins Putter",1439.81999
2,647,"Merrell Women's Siren Mid Waterproof Hiking B",1214.91009
2,311,"Polar Loop Activity Tracker",1099.5000000000002
2,982,"insta-bed Neverflat Air Mattress",1049.9300700000001
3,1004,"Field & Stream Sportsman 16 Gun Fire Safe",663566.8365900138
3,365,"Perfect Fitness Perfect Rip Deck",401333.1093899902
3,957,"Diamondback Women's Serene Classic Comfort Bi",377374.8525799992
3,191,"Nike Men's Free 5.0+ Running Shoe",339866.0097499969
3,1073,"Pelican Sunstream 100 Kayak",291785.4229700038
3,502,"Nike Men's Dri-FIT Victory Golf Polo",288100
3,403,"Nike Men's CJ Elite 2 TD Football Cleat",266089.54766000464
3,1014,"O'Brien Men's Neoprene Life Vest",252099.1169300031
3,627,"Under Armour Girls' Toddler Spine Surge Runni",118490.37194999949
3,303,"Garmin Forerunner 910XT GPS Watch",13999.64965
3,1059,"Pelican Maverick 100X Kayak",13999.5996
3,203,"GoPro HERO3+ Black Edition Camera",12799.67968
3,258,"Nike Women's Free 5.0 TR FIT PRT 4 Training S",12158.71999
3,724,"LIJA Women's Mid-Length Panel Golf Shorts",12000
3,208,"SOLE E35 Elliptical",11999.93994
3,359,"Nike Men's Free TR 5.0 TB Training Shoe",11998.799979999998
3,295,"Fitbit The One Wireless Activity & Sleep Trac",11594.19996
3,646,"Merrell Women's Grassbow Sport Hiking Shoe",11398.859999999995
3,607,"Garmin Approach S3 Golf GPS Watch",10999.560420000002
3,364,"Total Gym 1400",10799.63964
3,845,"Garmin Approach S4 Golf GPS Watch",10799.63964
3,677,"TaylorMade White Smoke IN-12 Putter",10798.919939999998
3,981,"The North Face Women's Recon Backpack",10395
3,768,"Titleist Club Glove Travel Cover",10199.65966
3,251,"Brooks Women's Ghost 6 Running Shoe",8998.99997
3,127,"Stiga Master Series ST3100 Competition Indoor",8909.72973
3,58,"Diamondback Boys' Insight 24 Performance Hybr",8699.70971
3,78,"Nike Kids' Grade School KD VI Basketball Shoe",8599.14001
3,61,"Diamondback Girls' Clarity 24 Hybrid Bike 201",8399.71972
3,777,"Bag Boy M330 Push Cart",8078.990000000002
3,24,"Elevation Training Mask 2.0",7679.039960000002
3,216,"Yakima DoubleDown Ace Hitch Mount 4-Bike Rack",7560
3,306,"Polar FT4 Heart Rate Monitor",7469.16999
3,730,"LIJA Women's Argyle Golf Polo",7280
3,691,"MDGolf Pittsburgh Penguins Putter",7119.109919999999
