"quarter","market_id","region","sales"
2,1,"Western Europe",285904.7262100011
2,2,"South America",265286.8560600009
2,2,"Central America",248428.08562000113
2,1,"Northern Europe",87659.19196999997
2,1,"Southern Europe",76988.15178999993
2,2,"Caribbean",67819.48152000003
3,1,"Western Europe",1955024.9697000498
3,1,"Northern Europe",710713.2743300013
3,1,"Southern Europe",691747.4041299998
4,1,"Western Europe",742288.1581600064
4,3,"Southeast Asia",295706.1948199993
4,1,"Northern Europe",276917.2831199997
4,1,"Southern Europe",256411.99272999982
4,3,"Eastern Asia",244415.27443999934
4,3,"Oceania",204081.1334199987
4,3,"South Asia",173657.11305999942
