"country","average_shipping_days_scheduled"
"Chipre",4.0000000000000000
"Luxemburgo",4.0000000000000000
"Ecuador",4.0000000000000000
"Sri Lanka",4.0000000000000000
"Grecia",3.3333333333333333
"Jamaica",3.3333333333333333
"Noruega",3.3157894736842105
"Suecia",3.3144654088050314
"Irlanda",3.2500000000000000
"Argentina",3.1875000000000000
"Vietnam",3.1568627450980392
"Dinamarca",3.1538461538461538
"Nicaragua",3.1351351351351351
"Finlandia",3.1296296296296296
"Brasil",3.1000000000000000
"Portugal",3.0819672131147541
"Corea del Sur",3.0238095238095238
"Bolivia",3.0000000000000000
"Hong Kong",3.0000000000000000
"Nepal",3.0000000000000000
"Filipinas",2.9796747967479675
"Indonesia",2.9780701754385965
"Austria",2.9700854700854701
"Tailandia",2.9600000000000000
"Australia",2.9398843930635838
"Alemania",2.9359850839030454
"Francia",2.9359267734553776
"All countries",2.9312204989885367
"China",2.9006514657980456
"Guatemala",2.8918918918918919
"Reino Unido",2.8918727915194346
"Italia",2.8849693251533742
"Camboya",2.8750000000000000
"Cuba",2.8000000000000000
"India",2.7923250564334086
"Suiza",2.7837837837837838
"Chile",2.7272727272727273
"Malasia",2.7250000000000000
"Singapur",2.6216216216216216
"El Salvador",2.6000000000000000
"Trinidad y Tobago",2.5000000000000000
"Venezuela",2.4545454545454545
"Colombia",2.2000000000000000
"Honduras",2.0000000000000000
