Table,DW name,,DM name,DESCRIPTION
-,,,Benefit per order,:  Earnings per order placed
-,,,Customer Password,:  Masked customer key
-,,,Customer State,:  State to which the store where the purchase is registered belongs
-,,,Customer Street,:  Street to which the store where the purchase is registered belongs
-,,,Product Category Id,:  Product category code
Customer,,,Customer City,:  City where the customer made the purchase
Customer,,,Customer Country,:  Country where the customer made the purchase
Customer,,,Customer Email,:  Customer's email
Customer,,,Customer Fname,:  Customer name
Customer,,,Customer Id,:  Customer ID
Customer,,,Customer Lname,:  Customer lastname
Customer,,,Customer Segment,":  Types of Customers: Consumer , Corporate , Home Office"
Customer,,,Customer Zipcode,:  Customer Zipcode
Customer,,,Latitude,:  Latitude corresponding to location of store
Customer,,,Longitude,:  Longitude corresponding to location of store
Date,,,date_id,
Date,,,week_day,
Date,,,week,
Date,,,month,
Date,,,quarter,
Date,,,semester,
Date,,,year,
Location,,,location_id,
Location,,,Market_id,
Location,market,,Market,":  Market to where the order is delivered : Africa , Europe , LATAM , Pacific Asia , USCA"
Location,,,city_id,
Location,city,,Order City,:  Destination city of the order
Location,,,country_id,
Location,country,,Order Country,:  Destination country of the order
Order,Type,,payment_type,:  Type of transaction made
Order,,,Days for shipping (real)     ,:  Actual shipping days of the purchased product
Order,,,Days for shipment (scheduled),:  Days of scheduled delivery of the purchased product
Order,,,Delivery Status,":  Delivery status of orders: Advance shipping , Late delivery , Shipping canceled , Shipping on time"
Order,,,Late_delivery_risk           ,":  Categorical variable that indicates if sending is late (1), it is not late (0)."
Order,,,Order Customer Id,:  Customer order code
Order,,,order date (DateOrders),:  Date on which the order is made
Order,,,Order Id,:  Order code
Order,,,Order Profit Per Order,:  Order Profit Per Order
Order,,location_id,Order Region,":  Region of the world where the order is delivered :  Southeast Asia ,South Asia ,Oceania ,Eastern Asia, West Asia , West of USA , US Center , West Africa, Central Africa ,North Africa ,Western Europe ,Northern , Caribbean , South America ,East Africa ,Southern Europe , East of USA ,Canada ,Southern Africa , Central Asia ,  Europe , Central America, Eastern Europe , South of  USA "
Order,,,Order State,:  State of the region where the order is delivered
Order,,,Order Status,":  Order Status : COMPLETE , PENDING , CLOSED , PENDING_PAYMENT ,CANCELED , PROCESSING ,SUSPECTED_FRAUD ,ON_HOLD ,PAYMENT_REVIEW"
Order,,,Shipping date (DateOrders)   ,:  Exact date and time of shipment
Order,,,Shipping Mode,":  The following shipping modes are presented : Standard Class , First Class , Second Class , Same Day"
Order,,,number of items,
Order,,,total price,
Order_item,,,discount_total,
Order_item,,discount,Order Item Discount,:  Order item discount value
Order_item,,discount_rate,Order Item Discount Rate     ,:  Order item discount percentage
Order_item,,order_item_id,Order Item Id,:  Order item code
Order_item,,,Order Item Product Price     ,:  Price of products without discount
Order_item,,,Order Item Profit Ratio,:  Order Item Profit Ratio
Order_item,,,Order Item Quantity,:  Number of products per order
Order_item,,,Sales,:  Value in sales = qtt * product_price
Order_item,,order_item_total,Order Item Total  ,":  Total amount per order NO, = SALES - DISCOUNT"
Product,,,Category Id,:  Product category code
Product,,,Category Name,:  Description of the product category
Product,,,Department Id,:  Department code of store
Product,,,Department Name,:  Department name of store
Product,,product_id,Order Item Cardprod Id,:  Product code generated through the RFID reader
Product,,,Product Card Id,:  Product code
Product,,,Product Description,:  Product Description
Product,,,Product Image,:  Link of visit and purchase of the product
Product,,,Product Name,:  Product Name
Product,,,Product Price,:  Product Price
Product,,,Product Status,":  Status of the product stock :If it is 1 not available , 0 the product is available "
Sales,,,Sales per customer,:  Total sales per customer made per customer
Time,,,time_id,
Time,,,minute,
Time,,,hour,
Time,,,day,
Time,,,month,
Time,,,year,
